timestamp,district,crop,soil_moisture,soil_temp_c,air_temp_c,humidity_pct,rainfall_mm,nitrogen_mg_kg,anomaly,irrigation_needed,rainfall
2024-06-01 00:00:00,Thanjavur,Rice,85.49,26.39,29.47,95.79,14.17,178.83,Normal,No Action,
2024-06-01 01:00:00,Thanjavur,Rice,100.0,27.75,27.8,91.87,48.79,177.67,Flood/Overwatering,No Action,
2024-06-01 02:00:00,Thanjavur,Rice,84.73,23.73,25.91,87.45,13.39,181.57,Normal,No Action,
2024-06-01 03:00:00,Thanjavur,Rice,81.28,24.48,30.7,88.8,14.47,172.88,Normal,No Action,
2024-06-01 04:00:00,Thanjavur,Rice,82.37,26.77,26.77,91.2,13.8,178.54,Normal,No Action,
2024-06-01 05:00:00,Thanjavur,Rice,82.19,29.38,28.48,85.47,15.22,173.9,Normal,No Action,
2024-06-01 06:00:00,Thanjavur,Rice,84.63,23.66,26.51,90.49,15.14,180.86,Normal,No Action,
2024-06-01 07:00:00,Thanjavur,Rice,83.65,26.15,26.28,86.82,13.94,185.29,Normal,No Action,
2024-06-01 08:00:00,Thanjavur,Rice,29.76,23.96,28.99,88.16,13.72,183.06,Drought Stress,Irrigate Now,0.0
2024-06-01 09:00:00,Thanjavur,Rice,87.09,28.0,27.24,88.46,14.73,184.88,Normal,No Action,
2024-06-01 10:00:00,Thanjavur,Rice,82.56,26.32,26.84,84.92,15.21,186.78,Normal,No Action,
2024-06-01 11:00:00,Thanjavur,Rice,29.32,28.11,29.04,87.12,14.76,187.69,Drought Stress,Irrigate Now,0.0
2024-06-01 12:00:00,Thanjavur,Rice,83.89,28.95,24.57,92.99,14.49,178.5,Normal,No Action,
2024-06-01 13:00:00,Thanjavur,Rice,84.28,23.62,28.17,91.13,15.88,177.41,Normal,No Action,
2024-06-01 14:00:00,Thanjavur,Rice,81.57,25.85,29.87,91.02,13.87,182.57,Normal,No Action,
2024-06-01 15:00:00,Thanjavur,Rice,84.29,28.05,27.45,88.39,14.01,172.68,Normal,No Action,
2024-06-01 16:00:00,Thanjavur,Rice,84.89,26.99,28.51,88.76,12.98,177.9,Normal,No Action,
